vivado_delay	ot_delay	class	endpoint
3.685	4.627	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[4]/D
3.601	3.869	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[5]/D
3.602	4.556	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[0]/D
3.596	4.516	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[3]/D
3.528	4.053	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[7]/D
3.535	4.494	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[1]/D
3.491	4.167	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[6]/D
3.483	4.007	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_tdata_reg_reg[2]/D
2.529	3.256	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[11]
2.509	4.236	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[4]
2.582	3.490	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[10]
2.495	2.527	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[9]
2.544	3.206	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[10]
2.459	2.546	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[5]
2.442	3.132	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[11]
2.436	2.589	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[3]
2.412	3.930	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[4]
2.499	3.057	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[8]
2.464	3.143	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[12]
2.346	2.568	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[3]
6.676	7.361	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[24]/S
6.676	7.361	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[25]/S
6.676	7.361	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[26]/S
6.676	7.361	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[27]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[31]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[3]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[4]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[5]/S
6.667	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[28]/S
6.667	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[29]/S
6.667	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[2]/S
6.667	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[30]/S
2.276	2.604	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[9]
6.662	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[17]/S
6.662	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[18]/S
6.662	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[19]/S
6.662	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[1]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[13]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[14]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[15]/S
6.646	7.215	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[16]/S
2.258	2.960	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[6]
6.630	7.339	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[20]/S
6.630	7.339	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[21]/S
6.630	7.339	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[22]/S
6.630	7.339	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[23]/S
2.240	2.692	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[5]
2.318	3.064	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[8]
6.577	7.506	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[6]/S
6.577	7.506	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[7]/S
6.577	7.506	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[8]/S
6.577	7.506	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[9]/S
2.283	3.129	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[12]
2.171	3.154	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[7]
2.161	2.698	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[6]
6.492	7.193	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[0]/S
6.492	7.193	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[10]/S
6.492	7.193	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[11]/S
6.492	7.193	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.crc_state_reg[12]/S
2.104	3.016	BRAM_ADDR	eth.RAMB16_inst_tx.genblk1[0].RAMB16_S9_S36_inst/ADDRARDADDR[7]
6.647	7.310	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[5]/R
6.647	7.310	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[6]/R
6.119	2.506	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[0].RAMB16_S9_S36_inst/DIADI[2]
6.098	3.038	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[0].RAMB16_S9_S36_inst/DIADI[0]
6.262	6.575	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[28]/S
6.262	6.575	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[29]/S
6.262	6.575	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[2]/S
6.262	6.575	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[30]/S
6.238	6.451	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[20]/S
6.238	6.451	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[21]/S
6.238	6.451	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[22]/S
6.238	6.451	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[23]/S
6.260	6.305	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[13]/S
6.260	6.305	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[14]/S
6.260	6.305	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[15]/S
6.260	6.305	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[16]/S
6.025	2.815	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[10].RAMB16_S9_S36_inst/DIADI[0]
6.230	6.429	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[31]/S
6.230	6.429	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[3]/S
6.230	6.429	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[4]/S
6.230	6.429	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[5]/S
6.222	6.553	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[17]/S
6.222	6.553	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[18]/S
6.222	6.553	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[19]/S
6.222	6.553	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[1]/S
6.141	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[24]/S
6.141	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[25]/S
6.141	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[26]/S
6.141	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[27]/S
6.668	6.894	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[1]/D
5.943	2.844	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[10].RAMB16_S9_S36_inst/DIADI[2]
6.153	6.473	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[6]/S
6.153	6.473	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[7]/S
6.153	6.473	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[8]/S
6.153	6.473	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[9]/S
6.133	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[0]/S
6.133	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[10]/S
6.133	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[11]/S
6.133	6.407	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_state_reg[12]/S
6.583	6.894	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[7]/D
5.952	4.553	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[9]
6.016	5.270	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[6]
6.003	5.062	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[12]
6.299	6.568	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[5]/CE
6.299	6.568	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[6]/CE
6.281	6.423	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[2]/CE
6.281	6.423	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[3]/CE
6.281	6.423	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[4]/CE
5.959	3.082	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.887	3.077	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[11].RAMB16_S9_S36_inst/DIADI[0]
5.771	4.706	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[5]
6.161	6.401	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[0]/CE
5.835	5.397	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.717	2.692	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[11].RAMB16_S9_S36_inst/DIADI[2]
5.687	4.269	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.688	5.861	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[3]
5.751	5.277	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.738	4.800	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[12]
5.585	5.657	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.633	3.361	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[12].RAMB16_S9_S36_inst/DIADI[0]
5.694	3.045	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.580	2.684	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[12].RAMB16_S9_S36_inst/DIADI[2]
5.575	3.376	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[13].RAMB16_S9_S36_inst/DIADI[0]
5.320	4.407	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.837	5.973	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.m_axis_tvalid_reg_reg/D
5.382	2.926	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[0].RAMB16_S9_S36_inst/DIADI[6]
6.180	5.312	FF_D	eth.sgmii_soc1.i_pcs_pma.inst.pcs_pma_block_i/transceiver_inst/rx_elastic_buffer_inst/rxclkcorcnt_reg[2]/D
5.458	5.811	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[5]
5.506	4.735	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[5]
5.512	5.393	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[4]
5.570	5.208	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.329	3.188	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[10].RAMB16_S9_S36_inst/DIADI[6]
5.488	6.071	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.422	4.233	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[16].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.444	3.954	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[7]
5.757	5.975	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_cnt_reg[0]/D
5.446	6.506	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.193	4.270	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[5]
5.423	5.585	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[3]
5.486	4.993	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.473	4.785	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[12]
5.419	3.443	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.320	5.456	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[21].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.223	4.606	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.951	6.256	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_axis_tready_reg_reg/D
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[31]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[3]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[4]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[5]/S
5.343	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.gmii_rx_dv_d0_reg/R
